SOILTYPINDEX, theta_res,   theta_sat,   vGn_alpha,       vGn_n,      k_soil,          BB,      DRYSMC,          HC,      MAXSMC,      REFSMC,      SATPSI,       SATDK,       SATDW,      WLTSMC,   QTZ, NAME
1  ,       0.098,       0.459,      -1.496,       1.253, 1.70799e-06,        1.40,       0.068,        1.09,       0.482,       0.412,       0.405,     1.28E-6,    0.112E-4,       0.286,        0.25,    'CLAY'
2  ,       0.079,       0.442,      -1.581,       1.416, 9.47297e-07,        8.52,       0.095,        1.23,       0.476,       0.382,       0.630,     2.45E-6,    0.113E-4,       0.250,        0.35,    'CLAY LOAM'
3  ,       0.061,       0.399,      -1.112,       1.472, 1.39472e-06,        5.39,       0.078,        1.21,       0.451,       0.329,       0.478,     6.95E-6,    0.143E-4,       0.155,        0.40,    'LOAM'
4  ,       0.049,       0.390,      -3.475,       1.746, 1.21755e-05,        4.38,       0.057,        1.41,       0.410,       0.383,       0.090,     1.56E-4,    0.514E-5,       0.075,        0.82,    'LOAMY SAND'
5  ,       0.053,       0.375,      -3.524,       3.177, 7.43852e-05,        4.05,       0.045,        1.47,       0.395,       0.236,       0.121,     1.76E-4,    0.608E-6,       0.068,        0.92,    'SAND'
6  ,       0.117,       0.385,      -3.342,       1.208, 1.31367e-06,        0.40,       0.100,        1.18,       0.426,       0.338,       0.153,     2.17E-6,    0.187E-4,       0.219,        0.52,    'SANDY CLAY'
7  ,       0.063,       0.384,      -2.109,       1.330, 1.52576e-06,        7.12,       0.100,        1.18,       0.420,       0.314,       0.299,     6.30E-6,    0.990E-5,       0.175,        0.60,    'SANDY CLAY LOAM'
8  ,       0.039,       0.387,      -2.667,       1.449, 4.43084e-06,        4.90,       0.065,        1.34,       0.435,       0.383,       0.218,     3.47E-5,    0.805E-5,       0.114,        0.60,    'SANDY LOAM'
9  ,       0.050,       0.489,      -0.658,       1.679, 5.06391e-06,        5.30,       0.034,        1.27,       0.485,       0.383,       0.786,     7.20E-6,    0.239E-4,       0.179,        0.10,    'SILT'
10 ,       0.111,       0.481,      -1.622,       1.321, 1.11298e-06,        0.40,       0.070,        1.15,       0.492,       0.404,       0.490,     1.03E-6,    0.964E-5,       0.283,        0.10,    'SILTY CLAY'
11 ,       0.090,       0.482,      -0.839,       1.521, 1.28673e-06,        7.75,       0.089,        1.32,       0.477,       0.387,       0.356,     1.70E-6,    0.237E-4,       0.218,        0.10,    'SILTY CLAY LOAM'
12 ,       0.065,       0.439,      -0.506,       1.663, 2.11099e-06,        5.30,       0.067,        1.27,       0.485,       0.360,       0.786,     7.20E-6,    0.239E-4,       0.179,        0.25,    'SILT LOAM'
